Country,Domestic credit to private sector (% of GDP),Exports of goods and services (annual % growth),GDP growth (annual %),Imports of goods and services (annual % growth),India_Dummy,Tax revenue (% of GDP),Tax revenue (current LCU),Taxes on exports (% of tax revenue),Taxes on exports (current LCU),Taxes on goods and services (% of revenue),Taxes on goods and services (% value added of industry and services),Taxes on goods and services (current LCU),"Taxes on income, profits and capital gains (% of revenue)","Taxes on income, profits and capital gains (% of total taxes)","Taxes on income, profits and capital gains (current LCU)",Taxes on international trade (% of revenue),Taxes on international trade (current LCU),Total tax and contribution rate (% of profit),Year,T
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Afghanistan,0,0,8.8322778037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Afghanistan,0,0,1.4141179802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Afghanistan,0,0,11.2297148389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.8,5,0
Afghanistan,4.8428568657,0,5.3574032475,0,0,6.9675975751,24250612198.98,0.1007340301,24428619,5.7586169839,2.513717093,5952943918.98,4.2190048876,17.9846056411,4361376969.55,11.1855199886,11562980032,35.8,6,0
Afghanistan,6.8399822366,0,13.8263195391,0,0,5.283456604,25646905181.79,0.0136649158,3504628,4.3129356937,2.0552745316,6702036585.18,3.6324346868,22.0088149769,5644579908.75,8.4639673112,13152484202,35.8,7,0
Afghanistan,9.3883277208,0,3.9249838228,0,0,6.0879649302,31355872125.7044,0.0194097679,6086102,1.7805904291,2.1665713146,8070694888.4844,1.9006927102,27.4751403077,8615069861.25,3.1614885424,14329746472,35.8,8,0
Afghanistan,10.5841306842,0,21.3905284053,0,0,8.481758361,51882246429.27,0.0173958543,9025360,2.9995269643,3.2863659485,13497091985.61,3.5202727969,30.5312780754,15840312929.06,4.8440413348,21796927401,35.8,9,0
Afghanistan,11.575044239,0,14.3624414597,0,0,9.1697519192,66593592311.2775,0.0294703894,19625391,3.0301441172,3.6247608154,18435006021.0875,2.9989662647,27.3980173676,18245323987.15,4.554858755,27711173240,35.8,10,0
Afghanistan,4.9591803761,0,0.4263547929,0,0,8.916793996,75823714797.6542,0.1683412272,127642572,2.622424855,3.3961250467,20918998549.2775,2.6973665621,28.3774096131,21516806132.02,3.8306355131,30556856029,35.8,11,0
Afghanistan,4.4721036297,0,12.7522870826,0,0,7.7078006029,79297407099.239,0.2075455037,164578203,3.1192139929,2.9066921612,21452208403.3467,3.7238157067,32.2965423547,25610320670.005,4.2246522132,29054793905.25,35.8,12,1
Afghanistan,4.3216854169,0,5.6007446613,0,0,7.1227732902,81114839641,0.0715476407,58035754,2.5357231296,2.3279207053,19386490829,3.6170219556,34.0916642755,27653398808,3.7036431846,28315648421,35.6,13,1
Afghanistan,3.9410571,0,2.724543365,0,0,6.8821029428,80965841103.0683,0.114029084,92324607,2.5500261724,1.9823935412,17309900936.38,4.8760524543,40.8805266124,33099262219.0668,3.806549238,25839338801,36.1,14,1
Afghanistan,3.9814937946,0,1.4513146546,0,0,7.5853823313,92750755156.87,0.1072595547,99484047,2.6542410762,1.9108961358,17608165999.12,5.9986651079,42.905297792,39794987704.39,4.5709322216,30323445014,36.1,15,1
Albania,6.2796782741,12.1852019623,8.2900700273,10.4185508883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Albania,6.5476277895,6.9355670103,4.5399606404,11.6426533695,0,16.484234979,100635310000,0,0,43.0744069522,15.878815549,64835600000,13.8813241723,20.7622652526,20894170000,8.9033413839,13401310000,0,2,0
Albania,7.7296521193,14.8249017859,5.5300507779,9.2861207443,0,17.1961499195,116544760000,0,0,45.6780250204,17.0561321789,76255180000,13.4806672341,19.3099286489,22504710000,8.30558774,13865400000,0,3,0
Albania,9.7224925035,17.1284440899,5.5099986932,10.8984687127,0,17.9650868213,132520460000,0,0,48.6962595108,18.01335437,89353960000,14.8345830516,20.5404810699,27220340000,7.5643547968,13880020000,0,4,0
Albania,15.4654614588,21.655605799,5.5299148093,13.4654681613,0,0,0,0,0,0,0,0,0,0,0,0,0,58.6,5,0
Albania,22.4133605704,6.2496317392,5.9000839574,8.8823768231,0,0,0,0,0,0,0,0,0,0,0,0,0,56.9,6,0
Albania,30.0302085566,21.1074551269,5.9799820363,22.1729839808,0,0,0,0,0,0,0,0,0,0,0,0,0,46.3,7,0
Albania,35.4399906489,-0.7391380666,7.4999695603,7.5672027233,0,0,0,0,0,0,0,0,0,0,0,0,0,50,8,0
Albania,38.2139090627,10.0701585776,3.3499939006,1.3313472252,0,0,0,0,0,0,0,0,0,0,0,0,0,44,9,0
Albania,39.0836096826,19.193580862,3.706880684,-0.5729526646,0,0,0,0,0,0,0,0,0,0,0,0,0,40.6,10,0
Albania,41.1536477874,6.6740920631,2.5454053935,6.1862696269,0,18.0220132798,234398630000,0.0009129746,2140000,55.5716221628,19.5798130124,175055100000,14.7372410257,19.8053631969,46423500000,3.4489432779,10864450000,38.7,11,0
Albania,40.8044451502,0.2935908665,1.4175259922,-6.6941466337,0,17.4832335567,233018460000,0.0001459112,340000,55.405082108,19.1799286634,173505580000,14.2052561031,19.0907321248,44484930000,3.8908220968,12184430000,38.8,12,1
Albania,39.7866517027,1.5889937702,1.0019879258,-0.6436266271,0,16.5032706123,222802900000,0.000246855,550000,54.1747897422,18.2118070154,166375460000,14.3311500451,19.7538721444,44012200000,3.5648915641,10948090000,31.7,13,1
Albania,39.2611226598,1.152801814,1.7700002966,4.2587900397,0,18.3019361358,255367830000,0,0,55.5813290106,20.8748608424,195997780000,13.8136820719,19.0750416762,48711520000,2.9020730114,10233650000,31.6,14,1
Albania,37.1510186809,0.9693514422,2.2300001792,-2.8752039406,0,18.5157898553,265573270000,1.12963175849738E-05,30000,54.6276939615,20.4927220492,200012910000,14.9190019181,20.5684028366,54624180000,2.9103019269,10655730000,36.9,15,1
Algeria,8.0142642835,-2.6,3.0083954661,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Algeria,12.1997915496,5.5000000034,5.6093231898,23.2000000024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Algeria,11.2223251393,7.5,7.201872244,5.1000000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Algeria,10.9977795217,3.2000000007,4.3016242644,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Algeria,11.9291499897,5.9000000004,5.9077912681,6.399999999,0,0,0,0,0,0,0,0,0,0,0,0,0,76.9,5,0
Algeria,12.1170982673,-2.1000000068,1.6844883187,-1.5000000048,0,0,0,0,0,0,0,0,0,0,0,0,0,76.9,6,0
Algeria,12.9901033983,-0.9999999944,3.3728751544,11.900000005,0,0,0,0,0,0,0,0,0,0,0,0,0,74.2,7,0
Algeria,12.7958001006,-2.4000000001,2.3601348611,15.3999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,74.2,8,0
Algeria,16.2658053732,-10.1000000061,1.6322438375,12.799999996,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5,9,0
Algeria,15.2082411343,0,3.6341453533,4.5000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5,10,0
Algeria,13.7155106311,-2.7000000002,2.8918659946,-4.5999999981,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5,11,0
Algeria,14.0253066801,-3.7999999979,3.3747686507,13.799999998,0,0,0,0,0,0,0,0,0,0,0,0,0,72.4,12,1
Algeria,16.4978910558,-5.700000002,2.7676388668,9.7999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,72.3,13,1
Algeria,18.3519782763,0.2000000048,3.7891212117,8.4000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,73.2,14,1
Algeria,21.71173327,0.6000000025,3.7634669578,6.4000000032,0,0,0,0,0,0,0,0,0,0,0,0,0,73.2,15,1
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
American Samoa,0,-2.0432692308,0.8141112619,-0.6402048656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
American Samoa,0,-16.3190184049,0.5383580081,-13.0154639175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
American Samoa,0,5.1319648094,-0.4016064257,0.1481481481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
American Samoa,0,-6.6945606695,-4.1666666667,-3.8461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
American Samoa,0,1.3452914798,1.9635343619,-3.6923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
American Samoa,0,-0.4424778761,-2.613480055,2.0766773163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
American Samoa,0,-21.4814814815,-4.2372881356,-12.9890453834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
