countryname,countrycode,AGR_2001to11_Air,AGR_2012to17_Air,AGR_2001to11_Import,AGR_2012to17_Import,AGR_2001to11_Electric,AGR_2012to17_Electric,AGR_2001to11_Export,AGR_2012to17_Export,AGR_2001to11_Credit,AGR_2012to17_Credit,India Dummy,AGR_2001to11_GVA,AGR_2012to17_GVA
Australia,AUS,6.42707,3.438598,7.881233,4.186359,0.4066521,-26.56317,8.684499,6.777482,3.110612,1.904589,0,7.331956,5.249767
Austria,AUT,8.126863,3.136435,3.717122,3.778119,1.625837,-25.07288,5.87429,4.644959,8.489348,-2.607162,0,3.458047,3.804375
Belgium,BEL,5.71689,10.47739,3.274699,5.010953,-0.1882975,-27.0872,5.041016,5.170264,1.781302,2.654112,0,3.603024,3.082629
Brazil,BRA,10.22394,4.630009,8.831095,-0.7707167,2.353923,-22.50548,14.63811,12.00354,6.070523,2.272539,0,12.39519,9.332614
Canada,CAN,6.679928,6.310985,3.245895,3.08714,-0.7481613,-24.46091,1.338328,5.505627,3.252168,,0,4.537627,4.216496
Switzerland,CHE,5.113024,3.33619,3.636214,3.666452,0.1148248,-27.05501,5.236025,2.011257,0.9028089,-14.94155,0,2.89665,1.672665
Chile,CHL,7.318714,11.38775,10.17836,3.384125,3.370128,-20.87269,12.90898,3.575809,4.515273,2.134427,0,10.40201,8.146482
China,CHN,15.4942,12.78666,7.094307,,11.57874,-17.48355,19.01305,7.341672,1.211554,3.718022,0,2.353808,
Czech Republic,CZE,7.784574,5.232123,9.232596,5.83339,0.9382284,-25.35397,9.238653,7.479366,2.013335,1.689247,0,4.887723,4.005102
Germany,DEU,5.989906,3.154259,4.329315,4.693343,0.88196,-25.79137,6.162033,5.978834,9.573463,-2.109734,0,2.24146,4.091956
Denmark,DNK,59.50645,,4.264414,4.645469,-0.4318514,-26.89892,5.137688,4.473825,3.319128,-2.792644,0,3.099603,3.240998
Spain,ESP,2.88379,5.567023,2.637308,2.138679,0.7780727,-26.56805,5.041662,6.425552,14.26166,-7.715879,0,4.891792,1.148895
Estonia,EST,10.00152,-19.97143,10.71385,8.267608,3.140361,-24.09122,13.83208,8.980044,,-5.670537,0,9.744276,8.059866
Finland,FIN,3.351053,9.47015,4.253423,3.118554,0.3462758,-26.91181,3.279849,3.067915,5.860676,1.058458,0,3.377388,2.822818
France,FRA,1.975294,1.973101,3.25198,4.355074,0.0604678,-27.60921,3.225109,4.80452,7.562586,0.9677929,0,3.082251,2.160561
United Kingdom,GBR,4.365413,6.9451,3.038473,3.822009,-0.9781337,-27.58376,5.901515,5.639234,3.82114,-5.167428,0,3.799341,4.151883
Greece,GRC,2.213186,5.697009,0.6473691,-0.9210101,1.520198,-26.18073,4.771653,3.107331,8.625995,-1.883729,0,3.561576,-3.803039
Hungary,HUN,33.27316,13.56688,7.674054,5.636804,1.531499,-24.42345,10.00503,7.236094,5.857227,-9.482226,0,7.158126,5.874866
India,IND,14.87796,14.00831,15.59021,5.885437,5.357347,-19.11463,20.95973,11.45402,5.691272,-0.5679454,1,13.84459,13.802
Ireland,IRL,18.88257,10.53891,4.359454,9.950132,-0.1811847,-26.0748,5.23554,13.67316,9.725034,-16.09648,0,4.622426,10.98664
Iceland,ISL,4.806231,25.66368,1.467965,10.3375,6.972313,-23.84129,14.69897,5.679716,5.841612,-9.424964,0,9.207013,-9.886936
Italy,ITA,1.577357,-2.438774,1.961581,1.53589,0.3943903,-27.29928,3.453921,4.928118,6.509059,-2.294286,0,2.611865,1.188463
Japan,JPN,-1.263404,2.537981,2.568,4.2188,-0.1580787,-27.31222,3.558431,4.594466,-2.498179,0.992832,0,-0.6649209,1.399436
Luxembourg,LUX,0.0564898,19.8702,5.63092,6.879072,0.1622865,-29.62163,8.097119,9.942336,7.185842,2.694468,0,5.982765,5.611379
Mexico,MEX,6.119797,11.19813,3.509668,5.683392,1.982628,-23.1939,9.842624,12.99923,4.977691,7.171166,0,7.598444,8.30228
Netherlands,NLD,3.509935,8.00137,3.266923,4.83336,0.760749,-26.05606,4.910387,5.445858,12.10765,-0.308522,0,3.426238,2.35819
Norway,NOR,25.79947,,4.111919,3.479052,-0.4751339,-26.91215,5.46871,2.736326,7.118256,2.253145,0,6.075379,4.089666
New Zealand,NZL,2.381314,3.505907,5.22674,6.320534,0.0810532,-26.52994,4.007652,4.238738,-0.3764434,4.201361,0,5.23776,-11.98918
Poland,POL,6.277375,11.25951,6.609108,6.913594,1.637168,-23.86713,11.52203,10.92899,10.65896,1.28236,0,6.902371,-12.27207
Portugal,PRT,4.939699,7.509764,1.611174,3.588846,1.807795,-26.52638,5.086615,7.560919,15.46713,-6.538371,0,2.935065,1.114456
Russian Federation,RUS,10.4019,12.64028,15.31803,2.475303,2.066326,-24.24955,17.07806,10.39322,7.589287,-0.6853658,0,21.10866,13.15821
South Asia,SAS,12.35371,13.03401,7.094307,,5.121447,-19.56042,8.270056,,5.229105,-0.3134117,0,2.353808,
Slovak Republic,SVK,52.17019,-20.12633,9.793723,6.558707,0.7438883,-25.27774,12.87674,8.160486,4.56601,4.871859,0,7.857071,3.7212
Sweden,SWE,28.36756,,3.649169,4.714661,-0.959595,-27.48807,4.759592,4.237036,14.47558,1.124129,0,3.989607,4.56208
Turkey,TUR,15.41287,15.38811,8.006835,6.599269,4.630983,-21.56356,24.59972,21.89674,10.65299,8.087279,0,21.48089,17.8271
United States,USA,1.033104,2.785531,3.296385,4.480066,-0.2516,-25.75241,6.556044,4.259749,1.057437,0.9725481,0,3.886551,4.434668
South Africa,ZAF,7.117505,4.865657,6.867779,4.010889,0.0303778,-26.93809,13.22322,9.960006,1.124805,-0.0915367,0,11.05705,8.895382
