Country,Year,credit,credit_GR,Imports LCU,Imports_LCU_GR,Imports GDP,Imports_GDP_GR,Exports GDP,Exports_GDP_GR,Exports LCU,Exports_LCU_GR,Electricity,Electricity_GR,Commercial ,Commercial_GR,Two Wheeler,Two Wheeler_GR,Foreign,Foreign_GR,IIP ,IIP_GR,Air ,Air_GR,Railways,Railways_GR,GVA,GVA_GR,GDP ,GDP_GR,Base Year
India,2000,28.33955048,NA,5.72E+12,NA,13.90368627,NA,12.997236,NA,5.03E+12,NA,393.6462474,NA,183102.5,NA,4673774,NA,2460823,NA,148.5333333,NA,17299483,NA,430666,NA,4.02E+13,NA,25540.04,NA,2004-05
India,2001,28.61941474,0.987539517,5.89E+12,2.97,13.4348748,-3.371850176,12.55837933,-3.376538442,5.25E+12,4.37,393.8102014,0.04,162508,-11.25,4271327,-8.61,2537282,3.11,152.4916667,2.66,16862737,-2.52,457022,6.12,4.24E+13,5.47,26802.8,4.94,2004-05
India,2002,32.3064883,12.88312006,6.59E+12,11.88,15.24427865,13.46796213,14.26438358,13.58458926,6.35E+12,20.95,410.6447832,4.27,203697,25.35,5076221,18.84,2384364,-6.03,159.8583333,4.83,17633019,4.57,493489,7.98,4.41E+13,4.01,27850.13,3.91,2004-05
India,2003,31.62626486,-2.105531971,7.51E+12,13.96,15.6445219,2.625530923,14.9479135,4.791864409,6.96E+12,9.61,430.4831641,4.83,275040,35.02,5622741,10.77,2726213,14.34,168.5916667,5.46,19455085,10.33,515044,4.37,4.76E+13,7.94,30062.54,7.94,2004-05
India,2004,36.19180299,14.43590683,9.18E+12,22.24,19.64468863,25.56912097,17.85912454,19.47570168,8.85E+12,27.16,451.6115501,4.91,353703,28.6,6529829,16.13,3456698,26.79,177.85,5.49,23934074,23.02,541208,5.08,5.09E+13,6.93,32422.09,7.85,2004-05
India,2005,40.06797674,10.71008745,1.21E+13,31.81,22.39642083,14.00751242,19.60524486,9.777188776,1.12E+13,26.55,468.0257528,3.63,391083,10.57,7608697,16.52,3918610,13.36,177.85,0,27879461,16.48,575702,6.37,5.51E+13,8.25,35432.44,9.28,2004-05
India,2006,43.62775227,8.884340612,1.47E+13,21.49,24.45653898,9.198425792,21.26794134,8.480875867,1.34E+13,19.64,509.2140548,8.8,520000,32.96,8466640,11.28,4447167,13.49,115.5833333,-35.01,40288794,44.51,615634,6.94,5.96E+13,8.17,38714.89,9.26,2004-05
India,2007,45.6277653,4.584267871,1.62E+13,10.2,24.88657107,1.758352195,20.7997,-2.201629826,1.42E+13,5.97,541.7383947,6.39,549006,5.58,8026681,-5.2,5081504,14.26,125.9073583,8.93,51897450,28.81,694764,12.85,6.40E+13,7.38,42509.47,9.8,2004-05
India,2008,49.55937014,8.616693836,1.99E+13,22.84,29.27086522,17.61710819,24.09735894,15.85435819,1.63E+13,14.79,561.24758,3.6,416870,-24.07,8419792,4.9,5282603,3.96,128.071725,1.72,49877935,-3.89,769956,10.82,6.67E+13,4.22,44163.5,3.89,2004-05
India,2009,48.12444445,-2.895367084,1.95E+13,-2.01,25.87234841,-11.61057859,20.40051791,-15.34127055,1.55E+13,-4.91,598.4982429,6.64,566608,35.92,10512903,24.86,5167699,-2.18,134.1499667,4.75,54446373,9.16,838032,8.84,7.13E+13,6.9,47801.79,8.24,2004-05
India,2010,50.55537567,5.051343964,2.26E+13,15.9,26.85427362,3.795268966,22.40093356,9.805710124,1.86E+13,20,640.3946031,7,752735,32.85,13376451,27.24,5775692,11.77,142.1652667,5.97,64374253.8,18.23,903465,7.81,7.70E+13,7.99,52368.23,9.55,2004-05
